# Orbital parameters
# Apo    : Apocenter of the orbit
# Peri   : Pericenter of the orbit
# rE     : Guiding radius
# Ecc    : Eccentricity of the orbit 
# Max_Z  : Maximum vertical height
# Energy : Total energy
# Tr     : Radial period
# Tp     : Azimuthal period
# Tz     : Vertical period
# Lz     : Z-component of the angular momentum
# L      : Angular momentum
# Jacobi : Jacobi integral 
#
#
             NAME    Apo Apo_std   Peri Peri_std     rE rE_std   Ecc Ecc_std Max_Z Max_z_std     Energy Energy_std    Tr Tr_std    Tp Tp_std    Tz Tz_std       Lz  Lz_std        L    L_std      Jacobi Jacobi_std
            bh_66 10.475    1.14 10.088    0.577 10.287  0.826 0.033   0.031 0.349     0.059 -39797.045   3760.286 0.203  0.019  0.27  0.024 0.119  0.016 2403.213 161.994   87.728 1127.458 -108965.834     906.18
            bh_67  10.34   0.388  8.524    0.359   9.44  0.364 0.097   0.009 0.081     0.044 -44015.915   1887.788 0.184  0.008 0.245  0.011 0.093  0.005 2217.202  76.467   45.653 1034.012 -107820.483    326.223
            bh_72  8.723   0.081  6.448    0.209  7.606  0.142  0.15   0.011 0.074     0.023 -55153.728    987.994 0.143  0.003 0.193  0.004 0.071  0.002 1802.911  36.082   35.398  838.362 -107044.356     59.243
            bh_78  9.554   0.198  7.486    0.175  8.538  0.174 0.122   0.008 0.196     0.018 -49095.484   1036.735 0.163  0.004 0.219  0.005 0.085  0.003 2013.559  37.026   42.536  943.471   -107059.1    108.921
            bh_84   8.45   0.098  7.336    0.179  7.898  0.135 0.071   0.007 0.121     0.016 -53154.128     885.29 0.149  0.003 0.201  0.004 0.075  0.002 1895.408  30.429   16.543  899.013 -107699.899     30.247
            bh_85 10.553   0.246  8.145    0.127  9.385  0.175 0.129   0.008 0.622     0.045 -44306.928     923.75 0.182  0.004 0.244  0.005  0.12  0.004 2171.388  33.644  -84.566 1087.801 -106772.619    112.493
            bh_87   9.75   0.155  8.188    0.015  8.967   0.08 0.087   0.007 0.094     0.015 -46594.324    452.405 0.173  0.002 0.231  0.002 0.087  0.001 2120.179  14.326   51.967  986.433 -107605.213     40.952
            bh_92  8.152   0.007  6.932    0.028  7.548  0.017 0.081   0.002 0.063     0.007 -55565.972      118.1 0.142    0.0 0.192    0.0  0.07    0.0 1817.033   4.113  -17.427  867.213 -107856.179      5.036
        bochum_11  7.974    0.01  7.945    0.006  6.506  0.017 0.002     0.0 0.022     0.005  -63749.51    145.617 0.118    0.0 0.165    0.0 0.059    0.0 1510.114   5.382   48.692  697.261 -107203.696     23.208
        bochum_13  6.779   0.043   6.75    0.046  6.845  0.067 0.002   0.002  0.06     0.001  -60905.03    548.004 0.126  0.001 0.172  0.002 0.062  0.001 1669.612  15.127  -15.318  794.966 -108954.068    113.529
         bochum_4  9.148   0.068  9.044    0.102  9.098  0.082 0.006   0.003 0.056     0.008 -45863.004    451.991 0.176  0.002 0.235  0.002 0.088  0.001 2163.178  17.314   22.267 1016.651 -108113.388     46.359
