# RV   : Radial velocity
# Vphi : Velocity in galactocentric phi coordinate
# Vz   : Velocity in galactocentric z coordinate
# Vrho : Velocity in galactocentric r coordinate
# N_rv : Number of member stars with radial velocity estimation
#
             NAME     RV RV_std    Vphi Vphi_std     Vz Vz_std     Vrho Vrho_std N_rv
         fsr_1085  41.66   1.29 -235.19     0.88   1.67   0.79    5.824    1.152    0
         fsr_1113   68.9   0.09 -253.14     1.86  19.04    2.2   14.397    0.861    0
         fsr_1125  50.44   0.93 -242.86     2.14  11.46   2.07  -13.196    1.243    1
         fsr_1150 103.56   4.12 -199.66     2.19   0.51   1.12    32.22    3.601    1
         fsr_1163  10.21    6.8 -251.83     3.61  14.93   1.06  -35.384     5.57    1
         fsr_1170  42.84   0.68 -225.33      1.2  -1.07   1.17  -15.723    0.954    1
         fsr_1171  33.67   1.08 -214.88     2.76   0.89   2.65  -45.557    1.849    1
         fsr_1180  62.11   0.61 -238.54     0.82   5.21   0.76    8.612    0.701    7
         fsr_1183  63.76   2.25 -226.28      2.6   0.27   1.74   12.146    2.393    1
         fsr_1252   64.2   1.83 -242.73     1.37    3.5   0.92    11.76     1.58    1
         fsr_1253  91.18   1.02 -216.28     1.28  -8.43   1.39    24.06    1.181    4
         fsr_1260  52.76   0.86 -251.39     1.04   -8.0   1.24    12.52    0.972    1
         fsr_1284   42.2   1.12 -227.72     0.89    1.2   0.55   -20.38     0.85    1
         fsr_1315  62.56   8.38 -240.92     5.73  -2.08   0.91    4.372    5.879    0
         fsr_1335  92.67    0.0 -236.02     1.71   0.53   1.89   20.564    1.519    2
         fsr_1361  66.47   0.48 -214.67      0.6    0.3    0.7    9.241     0.69   16
         fsr_1378  26.03   0.59 -260.64      0.7  15.19   0.77   45.616    0.814    4
         fsr_1402  62.61   1.01 -206.03      1.2 -14.62   1.67  -16.849    1.558    3
         fsr_1407  18.04   2.24 -273.35     2.05  24.99   1.28   14.674     1.43    2
         fsr_1435  28.79   1.46 -232.59     1.65  -5.84   2.63  -20.115    2.403    2
         fsr_1441 124.82   3.15 -165.04     2.89 -13.65   1.53   29.971    2.083    1
