# RV   : Radial velocity
# Vphi : Velocity in galactocentric phi coordinate
# Vz   : Velocity in galactocentric z coordinate
# Vrho : Velocity in galactocentric r coordinate
# N_rv : Number of member stars with radial velocity estimation
#
             NAME     RV RV_std    Vphi Vphi_std     Vz Vz_std     Vrho Vrho_std N_rv
          ubc_321 -19.74   0.45 -228.95     0.75   -0.4   0.81   -5.084    0.552    2
          ubc_322 -35.59   1.03 -244.42     0.84   1.96   0.86   -0.268    1.066    7
          ubc_323 -38.33   0.73 -255.26     1.12   1.75   1.15   11.951    0.811    1
          ubc_324 -65.57   0.34  -229.3     1.08   7.96   1.13   48.805    0.465   11
          ubc_326 -67.47   0.47  -244.8     0.61    0.0   0.58   49.645    0.483    3
          ubc_334 -38.17   1.47 -243.06     0.86   7.08   0.84   25.645    1.502    1
          ubc_433   1.94   5.05 -247.26     2.26   9.21   3.17  -10.388    4.829    1
          ubc_434   7.71    0.0 -231.31     1.06    4.4   1.31   -8.018    0.093    3
          ubc_436   9.76   0.72 -228.13     1.16 -10.72   1.22   -8.338    0.736    1
          ubc_438  37.77   3.21  -236.4     1.61   6.01   1.51    4.308    3.102    1
          ubc_439  37.67   0.86 -227.24     0.65   3.97    0.5   -0.176    0.837    1
          ubc_440  42.65   0.42 -250.87     2.25  12.79   1.75    0.359    0.983    0
          ubc_443   26.5   1.88 -234.25      1.4   7.74   1.26  -26.292    1.766    2
          ubc_444  -6.77   1.77 -248.46     1.11  -5.18   0.48  -40.462    1.447    1
          ubc_445  47.98   2.34 -213.48      1.3   -9.2   0.53  -16.107    1.961    1
          ubc_447  54.96   0.85  -220.9      0.9  -5.71   0.92   -3.006    0.864    2
          ubc_453  79.65   0.66 -216.82     0.95   3.46   1.02    3.105    0.861    1
          ubc_457   85.4    0.3  -214.1     2.56  -3.92   3.66   24.596    2.448    1
          ubc_458  68.41   0.09 -246.22     0.76  -9.12   0.93   18.318    0.637    2
          ubc_459  64.17    0.9 -211.56     0.74   4.94   0.71   -3.845    0.808    0
          ubc_466 107.36   0.53 -203.23     1.08  16.69   1.15   23.181    1.082    1
          ubc_467 112.85   0.26 -211.01     0.61 -15.01   1.01   30.656    0.633    0
          ubc_468  44.08   0.21 -244.93     0.66  -0.82    1.2    -9.68     0.71    0
          ubc_471  73.93   0.57 -230.02     0.79   0.65    0.9   13.399    0.854    0
          ubc_472   9.25    0.5 -245.07      0.5   4.76   0.54  -41.199    0.599    2
          ubc_473  77.21   0.32 -217.72     0.77  -8.67   0.97   -2.477    0.877    2
          ubc_474  45.02   0.63 -245.86     0.88   1.78   1.19  -12.868     0.96    0
          ubc_478  43.03   0.58 -236.09     0.66  11.06   0.74   10.491    0.853    2
          ubc_480  19.03   8.99 -235.83     8.86   0.14   1.75   -5.587    1.294    1
          ubc_482  26.71  18.51 -238.75    18.21  -2.04   1.12    4.129    5.451    2
          ubc_488  65.45   3.43 -231.45     3.12  -0.57    2.1   18.089    2.559    1
          ubc_492  12.84   0.25 -240.34     0.28   5.31    0.6   12.859    0.589    1
          ubc_493   8.63   0.23 -240.84     0.25  -0.88   1.04    8.615     1.03    5
          ubc_494   21.1   0.85 -234.36     0.87  -6.42   1.07   -5.236    1.112    2
          ubc_495  20.47   0.76 -232.52     0.86   1.31   1.41  -10.091    1.447    6
          ubc_498 -11.97   0.62  -253.5     0.64  -3.32   1.22   -7.824    1.259    0
            ubc_5 -11.74    5.8 -239.87     2.87   9.11   0.79    1.062    5.038    6
          ubc_502  10.51    0.4 -230.15     0.41  -0.65   0.71  -14.805    0.654    1
          ubc_503   7.33   0.66 -230.16     0.67  11.54   0.94   15.258    0.965    4
          ubc_506  -3.15   1.24 -240.23     1.23   7.13   1.29    -0.53    1.334    1
          ubc_508  31.14    0.0 -206.33     0.82   2.24   1.79  -16.105     3.01    2
          ubc_511  -3.12   0.51 -238.54     0.54  14.11   0.62    5.959    0.567    0
          ubc_512  19.61   0.53 -214.39     0.53  -5.37    0.9   -4.774    0.996    0
          ubc_514 -24.09   1.72 -261.69     1.66  -8.07   1.46   -2.786    1.424    3
          ubc_518 -34.19   1.71 -251.83     1.85  -4.93   2.15   -6.748    6.632    1
          ubc_519 -35.83   0.65 -257.52     0.64    9.6   0.51  -12.145    0.556    2
          ubc_521   -1.4   1.48 -215.91     1.43 -10.98    0.7   13.667      0.9    1
          ubc_523 -34.68   0.13 -255.65     0.26   8.42   0.93  -16.028    0.711    1
          ubc_524 -25.21   0.31 -237.45     0.41   -4.2    1.0   -2.571    1.081    4
          ubc_525 -15.09   0.28 -241.96     0.36  -1.93   0.61  -24.725    0.657    1
          ubc_528 -30.98   0.13 -242.73     0.29  -4.05   0.74  -14.617    0.619    2
          ubc_529 -21.21  14.38  -220.9    13.09  -6.93   0.95   12.817    5.131    6
          ubc_531 -27.44   0.45 -236.21      0.5  -6.25   0.71   -3.001    0.635    1
          ubc_535 -23.53   0.22 -206.37     0.49  -5.92   0.64    0.452    0.534    1
          ubc_536 -44.55   0.31  -242.2     0.44  -5.12   0.46   18.024    0.392    0
          ubc_537 -51.02  24.77 -249.55     16.8  11.53   0.93    -0.18   17.766    3
          ubc_538 -26.06   2.82 -213.66     2.01  -6.85   1.02   -2.196     2.19    5
          ubc_539 -42.43   0.25 -250.41     0.68   4.45   0.83   -4.615    0.611    1
          ubc_540 -36.85   4.44 -217.16     2.91   2.43    0.6    9.384      3.6    3
          ubc_541  -28.8   1.04 -232.74     0.99   4.72   0.97   -2.694    1.013    1
          ubc_542 -30.42   0.65 -257.61     0.67   1.81   0.71   -7.076    0.676    1
          ubc_546  -46.9   0.32  -250.3     0.64   4.09   0.68   18.013    0.442    5
          ubc_547 -20.62   5.43 -236.81     2.85  -1.06   0.84   -20.72    4.723    0
          ubc_548  -27.9  11.19 -228.15     5.25  -1.88   0.71    4.786    9.633    2
          ubc_550   1.72   1.17 -198.37     1.07  -0.41   1.03  -20.494    1.177    1
          ubc_552 -29.56   0.17 -256.68     1.15   6.48   1.27   -6.197    0.498    1
          ubc_555 -11.57   0.23 -248.79     0.74   9.31   0.76  -13.297    0.356    1
          ubc_558 -62.07   1.62 -244.44     1.71   1.63   1.53   29.475    1.615    0
          ubc_560  -3.48   0.64 -251.74     0.56   0.36   0.52  -18.262    0.671    2
          ubc_562 -88.92   0.62 -245.97     0.98  -3.31   1.04    66.39     0.63    1
          ubc_564 -22.51   1.42 -239.26     0.75    0.9   0.75    4.662    1.365    0
          ubc_565 -37.21   7.77 -243.06     1.23   1.78   0.68   18.935    7.518    0
          ubc_566  -8.57   0.35 -250.71     0.96   3.05   0.95    -7.81    0.357   11
          ubc_568 -11.34   0.32 -228.26     1.17   3.69   1.21   -5.419    0.354    1
          ubc_571 -21.48   0.48 -219.55     0.77   1.98   0.82   10.381    0.463    1
          ubc_616  71.77    9.3 -232.97     2.45   1.81   2.33   42.883    9.319    1
          ubc_617  60.56   0.48 -239.47     0.61  -9.28   0.74   29.272    0.485    6
          ubc_618  37.31   0.49 -236.44     1.54  11.67    1.6  -13.362    0.627    1
          ubc_619  58.01   1.22 -225.75     1.73   10.0    2.0   16.668    1.384    1
          ubc_620  37.31   0.56 -238.97      1.7  -4.81   1.87    7.094    0.895    1
          ubc_622  73.92   1.04 -238.75     3.49  -2.24    3.6   16.638    1.608    0
          ubc_623  80.78   4.75  -212.8     3.14   8.22   3.21   24.798    4.385    2
          ubc_624   88.2   0.21 -204.02     2.18  19.17   2.23    31.43    1.241    0
          ubc_625  55.88   0.24 -215.31     2.53   -7.1   2.48    3.299     1.37    1
          ubc_626   68.9   0.77  -236.5      0.9   0.13   1.35   12.486    0.818    1
          ubc_628  75.99   2.24 -223.34     1.55   4.55   1.48    3.974      2.1    1
          ubc_629  50.01   1.34 -229.18      2.1  -9.29   1.92   -6.276     1.67    1
          ubc_633  83.53   4.61 -224.58     3.06   0.24    2.1    7.262     3.96    1
          ubc_636  56.32   0.66 -223.27     0.79  -0.68   0.66   -9.484    0.784    1
          ubc_637 100.14    0.9 -216.38     1.24   4.95   1.48   14.788    1.145    1
          ubc_638 100.14    0.9 -218.78     1.47   4.18   1.61   14.289    1.301    1
          ubc_639  93.48   1.05 -216.13     1.25   -0.7   1.32   18.441    1.208    2
          ubc_643  50.12    5.2 -220.79     4.38   4.43   0.87   -27.12    3.245    1
          ubc_644  77.69   1.04  -215.9     1.07  -8.21   1.11   -1.751    1.106    3
          ubc_647    1.4    0.8 -252.32     0.76    0.5   0.68  -33.455    0.759    1
          ubc_649   6.47   9.84 -252.11     8.99 -11.61   3.47  -11.646    4.268    3
          ubc_650   28.7   1.83 -227.44     1.73  -0.11   1.04  -11.976    1.123    1
          ubc_651  13.17   8.86 -233.78     8.72  -6.09   1.05  -17.495     1.84    2
          ubc_660   0.59   1.47 -234.85     1.48  -8.66   0.73   -9.943    0.718    4
          ubc_662  -4.01   0.82 -225.16     0.78   6.01   1.09   -1.046    1.022    1
          ubc_664 -35.27   0.22  -230.2     0.47  -1.52   0.67   -1.857    0.657    1
          ubc_668 -43.22   0.91 -257.39     0.84   5.46   0.84   -6.805    0.908    1
          ubc_669 -22.44   1.82 -221.63     1.07   -5.2   0.76   -0.985    1.621    2
          ubc_671  -8.38   0.31 -230.14     0.79  -1.06   0.87  -19.153    0.455    3
           ubc_72  30.21   0.33 -248.88     1.01  10.75   1.22   15.612    0.343    3
           ubc_73  30.58   5.56 -222.45     0.89   0.65   0.98   13.449    5.556    3
           ubc_74  42.95   0.98 -217.46     1.07   7.24   1.16   18.936    0.959    3
           ubc_82  12.62   0.36 -220.28     0.68   7.42   0.53  -27.525    0.431    5
           ubc_90  49.63    0.0  -217.7     0.94  14.91    1.1    13.89    0.248    2
           ufmg_1  -47.2   7.27 -254.69     5.19  -7.43   1.12   -1.737    5.073    4
           ufmg_2 -51.09   2.56 -244.11     1.94  12.25   1.08   19.157    2.002   13
           ufmg_3 -21.33   3.82 -245.76     2.69  -2.41   1.02  -21.703    2.883    4
          upk_385  24.72   0.64 -243.36     0.55  -0.54   0.57   10.193    0.638    3
          upk_394 -11.18  10.19 -249.78     2.48   5.58   3.22  -30.408    9.226    1
          upk_398  30.01   2.73 -243.61     0.88  -6.24   0.61   11.704    2.519    0
          upk_402  25.52   6.05 -241.16     2.32  -1.36   1.36    6.117    5.496    3
          upk_418   38.2  19.93  -231.1      9.6   2.73   3.87   11.491   16.878    0
          upk_429   6.88   7.37 -250.86     4.02   0.36   1.16  -18.056    5.999    3
          upk_433  18.24  23.26 -234.24    13.55  -0.12   0.87    -13.2   19.669    4
          upk_445  46.13   2.43  -229.9     1.52 -10.76   0.79   14.661    1.892    0
          upk_452  49.34   1.59 -228.85     1.43  -2.38   1.29    22.92    1.371    2
          upk_468   77.4    0.0 -196.08     4.44  11.69   5.84   24.044    4.674    2
          upk_502  44.55    0.0 -218.41     0.34  -4.88    1.0   12.104    0.847    3
          upk_508  30.62   3.81 -231.98     3.67  -3.35   1.56   18.271    1.883    9
          upk_528   3.62    0.7 -250.32     0.73 -11.84   0.52   -9.006     0.48    0
          upk_549  -4.33   0.41 -253.47      0.4   0.83   0.64  -35.955    0.666   11
          upk_562  27.34  14.72 -211.89    14.14   7.77   0.99    5.417    3.446    2
          upk_578  -2.01    0.8  -223.2      1.0 -13.21   1.27   15.647    1.346    5
          upk_585  28.75  15.07 -214.56    11.96   -9.7   3.76  -18.858    8.065    2
          upk_587 -10.54   1.96 -236.65     1.69  -0.66    1.1    4.323    1.239    6
          upk_605   3.56   0.12 -235.31     0.37   2.37   0.48  -15.127    0.329    2
          upk_607  -4.73   7.35 -236.99     5.24   3.52   0.83  -11.413    5.419    2
          upk_613 -26.98   0.13 -249.69     0.39  -0.24   0.39    7.597    0.307    1
          upk_617  -31.1    8.9 -255.62     5.42  -1.66   0.76   11.465    7.116    3
          upk_621 -27.22   1.03 -254.38     0.73   3.81   0.43    4.737    0.874    0
          upk_624   3.77   1.98 -235.74     1.23  -4.35    0.8   -7.755    1.728   11
          upk_626 -13.55   6.01 -239.53     3.12   8.16    0.8    4.307    5.096    1
          upk_627  -4.05   2.94 -235.26     1.55  -5.59   0.52   -3.959    2.496    6
          upk_629   2.73  13.47 -241.86     6.89   -5.1   2.18  -19.282   11.439    2
          upk_644 -31.82   9.66 -241.04     2.18   3.67    1.9   19.497     9.18    1
          upk_645   32.5   9.95 -242.14     2.09 -10.33   1.82  -43.707    9.471    3
          upk_654   4.26   4.51 -233.89     0.52  -5.43   0.95  -13.006    4.617    4
        vdbergh_1  19.39   0.23 -236.86     0.91    6.9   0.98  -16.264    0.474    0
       vdbergh_83  42.21   1.63 -230.08     1.56  -8.08   1.46    6.959    1.495    3
       vdbergh_92  27.99    1.0  -247.4     1.08 -11.37   1.23   -0.149    1.057    2
       waterloo_7  65.91   0.34 -230.93     0.68   0.18   0.89    4.286    0.552    1
     westerlund_1 -47.08   1.47  -72.56     7.62 -25.64   9.49 -102.452    6.326    4
